,0
0,67
1,132
2,74
3,80
4,143
5,116
6,113
7,111
8,77
9,130
10,91
11,103
12,84
13,74
14,97
15,62
16,66
17,78
18,119
19,106
20,41
21,87
22,52
23,63
24,96
25,92
26,105
27,49
28,73
29,39
30,76
31,68
32,64
33,82
34,88
35,101
36,69
37,66
38,55
39,67
40,99
41,87
42,98
43,60
44,60
45,47
46,61
47,45
48,66
49,47
50,60
51,46
52,89
53,45
54,60
55,122
56,70
57,107
58,46
59,106
60,76
61,63
62,73
63,93
64,71
65,79
66,90
67,69
68,92
69,53
70,69
71,62
72,66
73,86
74,92
75,98
76,62
77,76
78,66
79,103
80,59
81,61
82,65
83,63
84,69
85,78
86,101
87,74
88,105
89,75
90,92
91,121
92,89
93,67
94,113
95,86
96,64
97,80
98,135
99,89
100,129
101,76
102,86
103,62
104,66
105,108
106,122
107,78
108,48
109,83
110,82
111,73
112,29
113,48
114,82
115,90
116,98
117,130
118,129
119,105
120,48
121,85
122,80
123,66
124,39
125,59
126,82
127,68
128,68
129,78
130,81
131,122
132,71
133,84
134,95
135,45
136,82
137,49
138,68
139,79
140,28
141,71
142,67
143,93
144,49
145,60
146,61
147,72
148,136
149,84
150,84
151,74
152,86
153,98
154,95
155,83
156,134
157,63
158,67
159,84
160,72
161,66
162,128
163,61
164,136
165,137
166,108
167,88
168,98
169,111
170,97
171,83
172,70
173,54
174,70
175,85
176,88
177,70
178,112
179,62
180,66
181,85
182,82
183,83
184,75
185,73
186,42
187,112
188,38
189,59
190,40
191,79
192,58
193,72
194,68
195,89
196,67
197,144
198,82
199,90
200,89
201,63
202,87
203,98
204,50
205,78
206,89
207,60
208,83
209,64
210,87
211,96
212,72
213,60
214,106
215,79
216,60
217,106
218,48
219,51
220,38
221,86
222,59
223,103
224,73
225,75
226,68
227,41
228,90
229,88
230,104
231,61
232,128
233,43
234,85
235,60
236,93
237,55
238,56
239,111
240,62
241,78
242,125
243,73
244,92
245,56
246,85
247,99
248,78
249,70
250,64
251,83
252,61
253,72
254,86
255,79
256,85
257,45
258,71
259,71
260,96
261,61
262,66
263,78
264,103
265,85
266,54
267,45
268,112
269,113
270,34
271,117
272,76
273,78
274,56
275,57
276,85
277,80
278,34
279,97
280,55
281,67
282,89
283,85
284,38
285,98
286,54
287,93
288,116
289,117
290,98
291,90
292,62
293,78
294,93
295,107
296,116
297,56
298,88
299,81
300,49
301,91
302,103
303,68
304,93
305,112
306,122
307,89
308,114
309,74
310,85
311,108
312,86
313,64
314,89
315,70
316,94
317,79
318,83
319,115
320,36
321,88
322,72
323,91
324,78
325,64
326,68
327,65
328,78
329,64
330,148
331,63
332,87
333,67
334,64
335,105
336,135
337,104
338,99
339,87
340,129
341,48
342,92
343,97
344,85
345,60
346,88
347,69
348,80
349,70
350,115
351,67
352,58
353,37
354,113
355,49
356,65
357,69
358,64
359,55
360,61
361,62
362,82
363,103
364,124
365,88
366,53
367,43
368,56
369,75
370,68
371,104
372,59
373,91
374,103
375,114
376,78
377,61
378,80
379,87
380,92
381,65
382,65
383,88
384,166
385,73
386,109
387,94
388,76
389,60
390,77
391,91
392,50
393,98
394,105
395,97
396,76
397,102
398,86
399,71
400,50
401,62
402,64
403,49
404,51
405,55
406,75
407,75
408,111
409,71
410,81
411,66
412,83
413,38
414,107
415,96
416,75
417,45
418,98
419,56
420,95
421,57
422,30
423,83
424,35
425,72
426,52
427,90
428,80
429,75
430,103
431,76
432,142
433,78
434,74
435,94
436,84
437,72
438,79
439,75
440,81
441,50
442,72
443,116
444,72
445,52
446,89
447,115
448,123
449,101
450,82
451,96
452,89
453,78
454,74
455,130
456,78
457,76
458,92
459,119
460,62
461,47
462,73
463,101
464,103
465,94
466,89
467,87
468,67
469,78
470,72
471,108
472,82
473,93
474,51
475,71
476,121
477,94
478,69
479,43
480,64
481,104
482,74
483,103
484,125
485,82
486,54
487,51
488,66
489,64
490,84
491,108
492,63
493,69
494,119
495,75
496,46
497,94
498,72
499,56
500,108
501,102
502,71
503,100
504,53
505,94
506,68
507,107
508,65
509,70
510,100
511,86
512,99
513,65
514,96
515,47
516,76
517,90
518,80
519,50
520,80
521,70
522,63
523,58
524,66
525,67
526,47
527,65
528,129
529,114
530,83
531,73
532,96
533,74
534,67
535,103
536,48
537,109
538,74
539,103
540,99
541,83
542,115
543,90
544,59
545,75
546,74
547,103
548,79
549,89
550,53
551,89
552,64
553,98
554,42
555,74
556,121
557,105
558,73
559,71
560,53
561,81
562,75
563,82
564,63
565,65
566,115
567,62
568,72
569,25
570,87
571,74
572,80
573,83
574,121
575,72
576,83
577,80
578,91
579,64
580,48
581,80
582,69
583,66
584,56
585,31
586,89
587,78
588,113
589,66
590,63
591,121
592,69
593,69
594,75
595,59
596,87
597,80
598,81
599,83
600,92
601,86
602,90
603,85
604,73
605,86
606,97
607,106
608,72
609,100
610,81
611,51
612,97
613,66
614,74
615,66
616,70
617,71
618,83
619,102
620,85
621,95
622,83
623,60
624,95
625,43
626,72
627,100
628,50
629,61
630,69
631,90
632,38
633,39
634,40
635,82
636,102
637,71
638,104
639,88
640,84
641,95
642,76
643,83
644,80
645,105
646,109
647,89
648,58
649,83
650,54
651,95
652,77
653,75
654,68
655,119
656,52
657,83
658,95
659,93
660,81
661,94
662,61
663,91
664,86
665,98
666,64
667,74
668,96
669,80
670,108
671,68
672,87
673,84
674,73
675,99
676,79
677,97
678,77
679,104
680,61
681,49
682,90
683,66
684,49
685,66
686,73
687,112
688,59
689,77
690,119
691,127
692,94
693,89
694,80
695,80
696,92
697,85
698,60
699,128
700,61
701,84
702,53
703,57
704,98
705,73
706,54
707,122
708,84
709,83
710,123
711,40
712,90
713,66
714,85
715,50
716,83
717,101
718,55
719,155
720,106
721,68
722,89
723,86
724,51
725,108
726,77
727,55
728,74
729,46
730,92
731,80
732,47
733,70
734,83
735,86
736,76
737,90
738,51
739,85
740,84
741,110
742,51
743,105
744,64
745,45
746,94
747,104
748,80
749,94
750,71
751,63
752,69
753,112
754,84
755,89
756,50
757,64
758,92
759,94
760,107
761,86
762,100
763,73
764,75
765,53
766,97
767,62
768,66
769,72
770,87
771,78
772,51
773,81
774,85
775,115
776,87
777,64
778,91
779,101
780,102
781,87
782,91
783,95
784,81
785,92
786,108
787,69
788,83
789,87
790,87
791,89
792,40
793,67
794,82
795,61
796,49
797,74
798,85
799,51
800,40
801,73
802,88
803,105
804,102
805,68
806,133
807,114
808,38
809,108
810,97
811,81
812,59
813,107
814,119
815,35
816,105
817,83
818,74
819,46
820,34
821,80
822,56
823,153
824,44
825,71
826,98
827,130
828,62
829,66
830,72
831,102
832,87
833,50
834,45
835,53
836,90
837,105
838,84
839,86
840,65
841,100
842,71
843,111
844,88
845,50
846,58
847,63
848,98
849,63
850,105
851,112
852,34
853,121
854,134
855,85
856,37
857,80
858,84
859,80
