,0
0,25
1,46
2,14
3,13
4,0
5,27
6,16
7,5
8,31
9,6
10,3
11,2
12,21
13,36
14,5
15,0
16,6
17,67
18,28
19,27
20,3
21,51
22,1
23,12
24,15
25,3
26,17
27,1
28,3
29,40
30,39
31,25
32,21
33,23
34,24
35,27
36,11
37,18
38,11
39,28
40,9
41,5
42,11
43,4
44,3
45,7
46,43
47,11
48,20
49,14
50,8
51,7
52,11
53,8
54,30
55,11
56,34
57,8
58,4
59,7
60,12
61,19
62,7
63,8
64,2
65,6
66,4
67,43
68,2
69,31
70,9
71,2
72,9
73,45
74,20
75,42
76,28
77,24
78,13
79,27
80,9
81,9
82,62
83,16
84,6
85,14
86,23
87,8
88,15
89,5
90,17
91,21
92,3
93,2
94,15
95,33
96,0
97,19
98,3
99,27
100,30
101,23
102,2
103,5
104,17
105,7
106,1
107,14
108,8
109,20
110,6
111,18
112,2
113,13
114,23
115,1
116,1
117,22
118,24
119,7
120,4
121,31
122,5
123,11
124,15
125,25
126,12
127,1
128,11
129,17
130,1
131,33
132,49
133,1
134,23
135,1
136,5
137,53
138,2
139,42
140,14
141,21
142,18
143,46
144,16
145,2
146,24
147,4
148,14
149,26
150,53
151,5
152,44
153,14
154,8
155,65
156,3
157,44
158,8
159,68
160,0
161,4
162,2
163,28
164,6
165,8
166,11
167,2
168,14
169,11
170,1
171,24
172,15
173,29
174,23
175,10
176,7
177,7
178,27
179,8
180,18
181,9
182,4
183,7
184,9
185,52
186,2
187,17
188,9
189,46
190,13
191,50
192,7
193,37
194,29
195,13
196,9
197,38
198,28
199,3
200,15
201,28
202,25
203,21
204,6
205,26
206,76
207,30
208,60
209,40
210,2
211,3
212,8
213,18
214,2
215,7
216,18
217,40
218,2
219,6
220,17
221,31
222,54
223,21
224,6
225,7
226,21
227,28
228,20
229,22
230,22
231,3
232,25
233,18
234,9
235,4
236,13
237,1
238,11
239,7
240,3
241,9
242,13
243,16
244,0
245,18
246,21
247,15
248,6
249,13
250,11
251,24
252,39
253,16
254,12
255,36
256,7
257,4
258,32
259,12
260,33
261,2
262,12
263,14
264,5
265,38
266,8
267,23
268,5
269,11
270,31
271,5
272,13
273,47
274,50
275,15
276,63
277,22
278,38
279,3
280,50
281,21
282,17
283,16
284,9
285,17
286,20
287,24
288,30
289,23
290,41
291,51
292,0
293,25
294,19
295,21
296,1
297,14
298,36
299,27
300,2
301,39
302,8
303,6
304,19
305,35
306,12
307,2
308,4
309,3
310,2
311,12
312,6
313,52
314,2
315,24
316,11
317,20
318,16
319,3
320,2
321,19
322,5
323,20
324,47
325,12
326,36
327,20
328,3
329,14
330,0
331,12
332,18
333,31
334,9
335,41
336,12
337,15
338,24
339,2
340,36
341,19
342,27
343,28
344,14
345,8
346,16
347,17
348,14
349,34
350,25
351,3
352,2
353,38
354,27
355,32
356,2
357,5
358,16
359,3
360,8
361,15
362,51
363,42
364,30
365,49
366,8
367,4
368,14
369,34
370,6
371,4
372,24
373,17
374,6
375,5
376,34
377,20
378,12
379,8
380,7
381,37
382,1
383,13
384,31
385,20
386,35
387,19
388,15
389,12
390,17
391,33
392,16
393,39
394,2
395,27
396,4
397,27
398,28
399,21
400,43
401,40
402,8
403,5
404,14
405,28
406,25
407,44
408,39
409,9
410,38
411,2
412,1
413,7
414,27
415,4
416,8
417,21
418,6
419,1
420,7
421,5
422,11
423,6
424,23
425,16
426,11
427,28
428,8
429,35
430,23
431,63
432,52
433,27
434,10
435,6
436,7
437,9
438,28
439,36
440,45
441,2
442,4
443,28
444,7
445,4
446,5
447,23
448,21
449,12
450,9
451,10
452,9
453,14
454,2
455,6
456,11
457,1
458,16
459,9
460,12
461,15
462,18
463,20
464,42
465,12
466,17
467,24
468,11
469,30
470,9
471,7
472,7
473,4
474,8
475,10
476,18
477,5
478,31
479,16
480,17
481,20
482,3
483,15
484,2
485,4
486,30
487,11
488,44
489,16
490,31
491,3
492,7
493,26
494,11
495,20
496,18
497,67
498,53
499,1
500,26
501,16
502,18
503,15
504,16
505,39
506,1
507,15
508,14
509,25
510,13
511,35
512,12
513,4
514,21
515,26
516,6
517,14
518,16
519,19
520,2
521,44
522,21
523,5
524,9
525,6
526,23
527,1
528,31
529,15
530,15
531,1
532,16
533,23
534,30
535,10
536,37
537,4
538,13
539,16
540,47
541,4
542,20
543,35
544,14
545,30
546,5
547,14
548,28
549,6
550,5
551,30
552,32
553,20
554,6
555,7
556,14
557,10
558,1
559,2
560,23
561,13
562,1
563,6
564,20
565,15
566,30
567,50
568,11
569,4
570,13
571,29
572,30
573,14
574,6
575,8
576,26
577,28
578,9
579,41
580,9
581,35
582,5
583,18
584,22
585,18
586,1
587,55
588,17
589,10
590,10
591,30
592,3
593,3
594,5
595,17
596,2
597,7
598,24
599,33
600,22
601,11
602,12
603,6
604,12
605,9
606,14
607,12
608,40
609,14
610,14
611,3
612,8
613,7
614,38
615,16
616,16
617,14
618,10
619,72
620,22
621,13
622,3
623,16
624,24
625,4
626,1
627,17
628,11
629,37
630,9
631,18
632,2
633,26
634,7
635,9
636,30
637,14
638,15
639,41
640,10
641,41
642,23
643,39
644,1
645,27
646,27
647,28
648,33
649,28
650,4
651,14
652,23
653,5
654,13
655,7
656,11
657,29
658,13
659,29
660,34
661,33
662,20
663,10
664,14
665,15
666,5
667,9
668,7
669,24
670,11
671,8
672,4
673,15
674,37
675,7
676,16
677,26
678,29
679,20
680,36
681,25
682,16
683,21
684,30
685,23
686,5
687,12
688,28
689,25
690,43
691,6
692,1
693,37
694,31
695,22
696,11
697,25
698,10
699,1
700,13
701,19
702,68
703,11
704,17
705,13
706,52
707,45
708,11
709,33
710,35
711,19
712,2
713,9
714,6
715,15
716,10
717,0
718,20
719,34
720,2
721,9
722,18
723,26
724,29
725,19
726,47
727,3
728,3
729,6
730,16
731,5
732,20
733,24
734,2
735,26
736,18
737,29
738,28
739,35
740,24
741,10
742,24
743,13
744,4
745,21
746,29
747,20
748,30
749,43
750,5
751,35
752,4
753,5
754,33
755,49
756,23
757,8
758,10
759,32
760,38
761,4
762,11
763,9
764,1
765,19
766,32
767,44
768,3
769,16
770,5
771,26
772,32
773,14
774,16
775,33
776,7
777,13
778,9
779,2
780,72
781,18
782,27
783,12
784,2
785,56
786,19
787,18
788,35
789,16
790,35
791,63
792,19
793,11
794,38
795,9
796,20
797,11
798,45
799,1
800,7
801,13
802,12
803,46
804,38
805,7
806,3
807,41
808,17
809,3
810,40
811,40
812,33
813,28
814,10
815,10
816,7
817,5
818,11
819,2
820,21
821,26
822,39
823,15
824,25
825,6
826,6
827,42
828,23
829,14
830,16
831,43
832,13
833,3
834,9
835,35
836,29
837,17
838,12
839,29
840,25
841,43
842,8
843,15
844,5
845,5
846,25
847,23
848,20
849,28
850,32
851,6
852,32
853,39
854,30
855,29
856,4
857,37
858,1
859,18
860,61
861,21
862,29
863,9
864,17
865,11
866,8
867,39
868,1
869,13
870,12
871,34
872,14
873,42
874,53
875,8
876,21
877,13
878,22
879,16
880,24
881,10
882,1
883,24
884,25
885,11
886,9
887,9
888,37
889,26
890,11
891,9
892,36
893,20
894,21
895,10
896,21
897,15
898,1
899,48
900,57
901,16
902,12
903,60
904,29
905,8
906,7
907,28
908,12
909,20
910,9
911,9
912,20
913,36
914,26
915,8
916,8
917,20
918,17
919,12
920,14
921,23
922,33
923,36
924,18
925,17
926,29
927,8
928,14
929,44
930,12
931,34
932,42
933,19
934,9
935,18
936,44
937,74
938,16
939,18
940,38
941,33
942,15
943,26
944,18
945,9
946,14
947,31
948,23
949,32
950,5
951,48
952,19
953,59
954,15
955,25
956,38
957,15
958,5
959,19
960,35
961,22
962,59
963,49
964,1
965,6
966,35
967,5
968,22
969,16
970,51
971,12
972,1
973,5
974,20
975,14
976,10
977,4
978,26
979,25
980,14
981,13
982,33
983,3
984,10
985,16
986,15
987,15
988,62
989,17
990,7
991,23
992,12
993,5
994,12
995,12
996,47
997,17
998,5
999,28
1000,36
1001,35
1002,16
1003,45
1004,34
1005,29
1006,25
1007,16
1008,37
1009,53
1010,4
1011,13
1012,31
1013,21
1014,19
1015,8
1016,4
1017,10
1018,2
1019,27
1020,30
1021,16
1022,45
1023,17
1024,4
1025,19
1026,7
1027,10
1028,11
1029,23
1030,7
1031,14
1032,49
1033,5
1034,2
1035,38
1036,24
1037,5
1038,10
1039,26
1040,25
1041,1
1042,53
1043,9
1044,19
1045,19
1046,11
1047,7
1048,6
1049,10
1050,10
1051,28
1052,27
1053,26
1054,8
1055,26
1056,22
1057,32
1058,10
1059,2
1060,37
1061,37
1062,4
1063,22
1064,9
1065,8
1066,13
1067,42
1068,15
1069,18
1070,12
1071,17
1072,1
1073,21
1074,24
1075,33
1076,27
1077,7
1078,19
1079,34
1080,16
1081,11
1082,10
1083,23
1084,33
1085,7
1086,25
1087,8
1088,34
1089,20
1090,18
1091,20
1092,19
1093,32
1094,32
1095,27
1096,33
1097,42
1098,69
1099,43
1100,9
1101,3
1102,10
1103,6
1104,5
1105,13
1106,28
1107,14
1108,6
1109,59
1110,30
1111,26
1112,7
1113,42
1114,12
1115,20
1116,5
1117,30
1118,13
1119,39
1120,15
1121,3
1122,17
1123,20
1124,10
1125,15
1126,25
1127,4
1128,5
1129,8
1130,16
1131,48
1132,5
1133,68
1134,7
1135,8
1136,17
1137,6
1138,6
1139,9
1140,3
1141,6
1142,18
1143,7
1144,27
1145,2
1146,26
1147,10
1148,29
1149,16
1150,12
1151,4
1152,20
1153,17
1154,5
1155,19
1156,33
1157,22
1158,29
1159,5
1160,34
1161,16
1162,11
1163,7
1164,45
1165,20
1166,37
1167,13
1168,37
1169,33
1170,23
1171,46
1172,33
1173,20
1174,55
1175,10
1176,21
1177,46
1178,34
1179,17
1180,9
1181,12
1182,65
1183,8
1184,38
1185,27
1186,11
1187,20
1188,58
1189,14
1190,17
1191,18
1192,11
1193,9
1194,41
1195,16
1196,8
1197,7
1198,16
1199,27
1200,35
1201,37
1202,11
1203,45
1204,38
1205,51
1206,15
1207,39
1208,23
1209,16
1210,15
1211,12
1212,16
1213,10
1214,27
1215,57
1216,25
1217,39
1218,9
1219,38
1220,5
1221,18
1222,2
1223,2
1224,10
1225,74
1226,23
1227,33
1228,15
1229,28
1230,2
1231,27
1232,33
1233,1
1234,15
1235,6
1236,12
1237,5
1238,56
1239,20
1240,19
1241,15
1242,37
1243,28
1244,4
1245,26
1246,10
1247,27
1248,53
1249,79
1250,53
1251,22
1252,16
1253,6
1254,30
1255,22
1256,16
1257,14
1258,27
1259,22
1260,18
1261,17
1262,34
1263,29
1264,43
1265,15
1266,14
1267,27
1268,43
1269,41
1270,14
1271,57
1272,36
1273,3
1274,5
1275,89
1276,19
1277,3
1278,9
1279,66
1280,16
1281,3
1282,31
1283,37
1284,14
1285,7
1286,46
1287,19
1288,45
1289,38
1290,11
1291,9
1292,35
1293,24
1294,13
1295,35
1296,27
1297,11
1298,29
1299,16
1300,56
1301,27
1302,23
1303,7
1304,17
1305,24
1306,26
1307,35
1308,17
1309,9
1310,7
1311,27
1312,69
1313,24
1314,59
1315,16
1316,24
1317,29
1318,55
1319,9
1320,20
1321,33
1322,28
1323,18
1324,7
1325,15
1326,10
1327,47
1328,12
1329,14
1330,4
1331,19
1332,100
1333,27
1334,21
1335,10
1336,13
1337,37
1338,25
1339,31
1340,32
1341,97
1342,24
1343,13
1344,8
1345,7
1346,6
1347,3
1348,5
1349,29
1350,21
1351,30
1352,40
1353,23
1354,15
1355,13
1356,3
1357,4
1358,5
1359,29
1360,34
1361,9
1362,10
1363,28
1364,4
1365,15
1366,69
1367,5
1368,5
1369,17
1370,16
1371,22
1372,15
1373,22
1374,3
1375,8
1376,9
1377,13
1378,21
1379,46
1380,6
1381,12
1382,19
1383,38
1384,45
1385,9
1386,30
1387,5
1388,49
1389,66
1390,16
1391,30
1392,39
1393,32
1394,13
1395,55
1396,8
1397,56
1398,91
1399,32
1400,10
1401,15
1402,23
1403,43
1404,10
1405,15
1406,14
1407,2
1408,21
1409,9
1410,12
1411,3
1412,23
1413,21
1414,30
1415,5
1416,42
1417,27
1418,4
1419,7
1420,9
1421,12
1422,95
1423,18
1424,94
1425,14
1426,54
1427,6
1428,56
1429,12
1430,12
1431,13
1432,51
1433,14
1434,25
1435,49
1436,24
1437,20
1438,35
1439,41
1440,51
1441,20
1442,44
1443,14
1444,20
1445,14
1446,47
1447,39
1448,17
1449,6
1450,43
1451,24
1452,8
1453,12
1454,54
1455,34
1456,5
1457,15
1458,46
1459,44
1460,19
1461,7
1462,37
1463,6
1464,6
1465,4
1466,6
1467,18
1468,12
1469,26
1470,3
1471,21
1472,12
1473,6
1474,12
1475,56
1476,30
1477,16
1478,42
1479,29
1480,33
1481,25
1482,19
1483,14
1484,10
1485,32
1486,12
1487,44
1488,15
1489,26
1490,3
1491,76
1492,36
1493,8
1494,41
1495,62
1496,63
1497,12
1498,11
1499,11
1500,6
1501,55
1502,31
1503,21
1504,3
1505,32
1506,24
1507,12
1508,12
1509,6
1510,7
1511,13
1512,20
1513,44
1514,29
1515,27
1516,11
1517,19
1518,7
1519,36
1520,17
1521,34
1522,2
1523,11
1524,58
1525,14
1526,11
1527,33
1528,18
1529,11
1530,35
1531,36
1532,12
1533,21
1534,42
1535,37
1536,11
1537,7
1538,28
1539,18
1540,18
1541,4
1542,11
1543,12
1544,10
1545,22
1546,10
1547,24
1548,18
1549,21
1550,31
1551,16
1552,63
1553,5
1554,37
1555,45
1556,13
1557,8
1558,39
1559,4
1560,15
1561,32
1562,29
1563,53
1564,8
1565,22
1566,7
1567,22
1568,48
1569,40
1570,16
1571,20
1572,8
1573,4
1574,7
1575,8
1576,15
1577,15
1578,17
1579,13
1580,16
1581,47
1582,15
1583,33
1584,27
1585,52
1586,13
1587,12
1588,7
1589,62
1590,21
1591,23
1592,12
1593,12
1594,10
1595,15
1596,30
1597,28
1598,8
1599,45
1600,38
1601,51
1602,7
1603,2
1604,9
1605,21
1606,31
1607,15
1608,8
1609,8
1610,22
1611,34
1612,30
1613,16
1614,44
1615,35
1616,18
1617,8
1618,18
1619,4
1620,63
1621,21
1622,28
1623,15
1624,28
1625,26
1626,8
1627,47
1628,25
1629,9
1630,13
1631,11
1632,34
1633,28
1634,24
1635,16
1636,51
1637,31
1638,34
1639,25
1640,26
1641,12
1642,73
1643,27
1644,13
1645,22
1646,29
1647,17
1648,9
1649,31
1650,67
1651,59
1652,15
1653,41
1654,33
1655,48
1656,62
1657,12
1658,28
1659,10
1660,41
1661,20
1662,2
1663,85
1664,85
1665,18
1666,27
1667,30
1668,10
1669,11
1670,96
1671,32
1672,48
1673,26
1674,31
1675,32
1676,28
1677,20
1678,55
1679,56
1680,19
1681,12
1682,42
1683,18
1684,24
1685,18
1686,22
1687,14
1688,39
1689,12
1690,6
1691,18
1692,10
1693,9
1694,17
1695,25
1696,17
1697,27
1698,14
1699,24
1700,35
1701,24
1702,41
1703,37
1704,7
1705,17
1706,28
1707,22
1708,52
1709,44
1710,32
1711,64
1712,46
1713,48
1714,14
1715,11
1716,40
1717,65
1718,47
1719,8
1720,27
1721,27
1722,28
1723,50
1724,6
1725,6
1726,3
1727,8
1728,10
1729,66
1730,16
1731,18
1732,18
1733,21
1734,37
1735,32
1736,9
1737,15
1738,31
1739,45
1740,27
1741,24
1742,19
1743,32
1744,20
1745,22
1746,8
1747,53
1748,18
1749,23
1750,7
1751,37
1752,14
1753,43
1754,19
1755,53
1756,17
1757,26
1758,14
1759,18
1760,27
1761,12
1762,36
1763,30
1764,4
1765,11
1766,19
1767,31
1768,19
1769,17
1770,46
1771,14
1772,25
1773,27
1774,37
1775,7
1776,45
1777,107
1778,43
1779,15
1780,50
1781,32
1782,25
1783,17
1784,8
1785,40
1786,81
1787,9
1788,18
1789,11
1790,37
1791,38
1792,8
1793,25
1794,49
1795,63
1796,107
1797,26
1798,25
1799,9
1800,21
1801,18
1802,44
1803,28
1804,25
1805,35
1806,37
1807,35
1808,26
1809,4
1810,15
1811,11
1812,30
1813,14
1814,28
1815,23
1816,20
1817,16
1818,12
1819,16
1820,51
1821,13
1822,12
1823,40
1824,23
1825,33
1826,34
1827,58
1828,7
1829,10
1830,7
1831,14
1832,29
1833,69
1834,7
1835,21
1836,35
1837,34
1838,23
1839,35
1840,56
1841,14
1842,49
1843,12
1844,52
1845,48
1846,22
1847,24
1848,29
1849,99
1850,11
1851,32
1852,28
1853,30
1854,33
1855,45
1856,31
1857,14
1858,29
1859,41
1860,17
1861,78
1862,23
1863,30
1864,26
1865,33
1866,27
1867,33
1868,51
1869,25
1870,34
1871,9
1872,19
1873,16
1874,25
1875,9
1876,39
1877,13
1878,28
1879,7
1880,15
1881,19
1882,26
1883,10
1884,22
1885,19
1886,49
1887,51
1888,59
1889,28
1890,21
1891,15
1892,48
1893,8
1894,20
1895,11
1896,13
1897,5
1898,47
1899,29
1900,22
1901,67
1902,32
1903,31
1904,9
1905,18
1906,3
1907,21
1908,20
1909,46
1910,28
1911,29
1912,17
1913,7
1914,15
1915,12
1916,88
1917,23
1918,42
1919,12
1920,40
1921,35
