,0,1,2
0,1012.0,3412.0,576.0
1,831.0,3526.0,643.0
2,795.0,3609.0,596.0
3,737.0,3661.0,602.0
4,702.0,3808.0,490.0
5,666.0,3633.0,701.0
6,861.0,3493.0,646.0
7,840.0,3558.0,602.0
8,740.0,3609.0,651.0
9,858.0,3530.0,612.0
10,985.0,3422.0,593.0
11,897.0,3515.0,588.0
12,831.0,3507.0,662.0
13,803.0,3577.0,620.0
14,852.0,3586.0,562.0
15,926.0,3467.0,607.0
16,874.0,3471.0,655.0
17,854.0,3541.0,605.0
18,686.0,3742.0,572.0
19,713.0,3476.0,811.0
20,845.0,3501.0,654.0
21,827.0,3566.0,607.0
22,881.0,3433.0,686.0
23,810.0,3588.0,602.0
24,825.0,3540.0,635.0
25,799.0,3624.0,577.0
26,843.0,3543.0,614.0
27,757.0,3616.0,627.0
28,753.0,3767.0,480.0
29,623.0,3863.0,514.0
30,748.0,3357.0,895.0
31,753.0,3569.0,678.0
32,885.0,3414.0,701.0
33,856.0,3559.0,585.0
34,888.0,3462.0,650.0
35,810.0,3583.0,607.0
36,875.0,3606.0,519.0
37,791.0,3626.0,583.0
38,734.0,3730.0,536.0
39,814.0,3493.0,693.0
40,864.0,3562.0,574.0
41,761.0,3251.0,988.0
42,754.0,3707.0,539.0
43,736.0,3671.0,593.0
44,767.0,3341.0,892.0
45,867.0,3511.0,622.0
46,909.0,3494.0,597.0
47,779.0,3545.0,676.0
48,838.0,3652.0,510.0
49,823.0,3493.0,684.0
50,831.0,3484.0,685.0
51,818.0,3490.0,692.0
52,847.0,3607.0,546.0
53,815.0,3461.0,724.0
54,884.0,3539.0,577.0
55,786.0,3469.0,745.0
56,803.0,3628.0,569.0
57,857.0,3501.0,642.0
58,818.0,3531.0,651.0
59,867.0,3459.0,674.0
60,872.0,3551.0,577.0
61,803.0,3631.0,566.0
62,825.0,3441.0,734.0
63,828.0,3560.0,612.0
64,786.0,3690.0,524.0
65,706.0,3744.0,550.0
66,789.0,3508.0,703.0
67,803.0,3590.0,607.0
68,850.0,3569.0,581.0
69,789.0,3665.0,546.0
70,749.0,3705.0,546.0
71,825.0,3513.0,662.0
72,814.0,3556.0,630.0
73,906.0,3393.0,701.0
74,885.0,3612.0,503.0
75,815.0,3637.0,548.0
76,711.0,3532.0,757.0
77,910.0,3468.0,622.0
78,838.0,3421.0,741.0
79,787.0,3382.0,831.0
80,772.0,3330.0,898.0
81,775.0,3622.0,603.0
82,858.0,3414.0,728.0
83,841.0,3559.0,600.0
84,891.0,3438.0,671.0
85,785.0,3387.0,828.0
86,753.0,3588.0,659.0
87,826.0,3614.0,560.0
88,852.0,3430.0,718.0
89,832.0,3442.0,726.0
90,891.0,3472.0,637.0
91,840.0,3519.0,641.0
92,748.0,3591.0,661.0
93,832.0,3537.0,631.0
94,846.0,3601.0,553.0
95,745.0,3641.0,614.0
96,817.0,3410.0,773.0
97,791.0,3605.0,604.0
98,857.0,3564.0,579.0
99,837.0,3577.0,586.0
